table_name,column_name,data_type,,
detail_languages,id,integer,,
detail_languages,language,character varying,,
detail_languages,iso,character,,
detail_languages,created_by_id,integer,,
detail_languages,created_by,character varying,,
detail_languages,updated_by_id,integer,,
detail_languages,updated_by,character varying,,
detail_languages,website_id,integer,,
detail_locations,id,integer,,
detail_locations,name,character varying,,
detail_locations,code,character varying,,
detail_locations,comment,text,,
detail_locations,parent_id,integer,,
detail_locations,parent,character varying,,
detail_locations,centroid_sref,character varying,,
detail_locations,location_type_id,integer,,
detail_locations,centroid_sref_system,character varying,,
detail_locations,centroid_geom,text,,
detail_locations,boundary_geom,text,,
detail_locations,geom,USER-DEFINED,,
detail_locations,created_by_id,integer,,
detail_locations,created_by,character varying,,
detail_locations,updated_by_id,integer,,
detail_locations,updated_by,character varying,,
detail_locations,website_id,integer,,
detail_locations,public,boolean,,
detail_occurrence_comments,id,integer,,
detail_occurrence_comments,comment,text,,
detail_occurrence_comments,occurrence_id,integer,,
detail_occurrence_comments,email_address,character varying,,
detail_occurrence_comments,updated_on,timestamp without time zone,,
detail_occurrence_comments,person_name,character varying,,
detail_occurrence_comments,username,character varying,,
detail_occurrence_comments,website_id,integer,,
detail_occurrence_comments,created_on,timestamp without time zone,,
detail_occurrence_comments,created_by_id,integer,,
detail_occurrence_comments,created_by,character varying,,
detail_occurrence_comments,updated_by_id,integer,,
detail_occurrence_comments,updated_by,character varying,,
detail_occurrences,id,integer,,
detail_occurrences,confidential,boolean,,
detail_occurrences,comment,text,,
detail_occurrences,taxa_taxon_list_id,integer,,
detail_occurrences,taxon_meaning_id,integer,,
detail_occurrences,record_status,character,,
detail_occurrences,determiner_id,integer,,
detail_occurrences,taxon,character varying,,
detail_occurrences,entered_sref,character varying,,
detail_occurrences,entered_sref_system,character varying,,
detail_occurrences,geom,USER-DEFINED,,
detail_occurrences,wkt,text,,
detail_occurrences,location_name,character varying,,
detail_occurrences,survey_id,integer,,
detail_occurrences,date_start,date,,
detail_occurrences,date_end,date,,
detail_occurrences,date_type,character varying,,
detail_occurrences,location_id,integer,,
detail_occurrences,location,character varying,,
detail_occurrences,location_code,character varying,,
detail_occurrences,recorder_names,character varying,,
detail_occurrences,determiner,text,,
detail_occurrences,website_id,integer,,
detail_occurrences,external_key,character varying,,
detail_occurrences,created_by_id,integer,,
detail_occurrences,created_by,character varying,,
detail_occurrences,created_on,timestamp without time zone,,
detail_occurrences,updated_by_id,integer,,
detail_occurrences,updated_by,character varying,,
detail_occurrences,updated_on,timestamp without time zone,,
detail_occurrences,downloaded_flag,character,,
detail_occurrences,sample_id,integer,,
detail_occurrences,deleted,boolean,,
detail_occurrences,zero_abundance,boolean,,
detail_occurrences,taxon_external_key,character varying,,
detail_occurrences,taxon_list_id,integer,,
detail_occurrences,sensitivity_precision,integer,,
detail_people,id,integer,,
detail_people,first_name,character varying,,
detail_people,surname,character varying,,
detail_people,initials,character varying,,
detail_people,email_address,character varying,,
detail_people,website_url,character varying,,
detail_people,external_key,character varying,,
detail_people,created_by_id,integer,,
detail_people,created_by,character varying,,
detail_people,updated_by_id,integer,,
detail_people,updated_by,character varying,,
detail_people,website_id,integer,,
detail_people,created_on,timestamp without time zone,,
detail_people,updated_on,timestamp without time zone,,
detail_sample_comments,id,integer,,
detail_sample_comments,comment,text,,
detail_sample_comments,sample_id,integer,,
detail_sample_comments,email_address,character varying,,
detail_sample_comments,updated_on,timestamp without time zone,,
detail_sample_comments,person_name,character varying,,
detail_sample_comments,username,character varying,,
detail_sample_comments,created_on,timestamp without time zone,,
detail_sample_comments,created_by_id,integer,,
detail_sample_comments,created_by,character varying,,
detail_sample_comments,updated_by_id,integer,,
detail_sample_comments,updated_by,character varying,,
detail_sample_comments,website_id,integer,,
detail_samples,id,integer,,
detail_samples,entered_sref,character varying,,
detail_samples,entered_sref_system,character varying,,
detail_samples,geom,USER-DEFINED,,
detail_samples,wkt,text,,
detail_samples,location_name,character varying,,
detail_samples,date_start,date,,
detail_samples,date_end,date,,
detail_samples,date_type,character varying,,
detail_samples,location_id,integer,,
detail_samples,location,character varying,,
detail_samples,location_code,character varying,,
detail_samples,created_by_id,integer,,
detail_samples,created_by,character varying,,
detail_samples,created_on,timestamp without time zone,,
detail_samples,updated_by_id,integer,,
detail_samples,updated_by,character varying,,
detail_samples,updated_on,timestamp without time zone,,
detail_samples,website_id,integer,,
detail_samples,parent_id,integer,,
detail_samples,comment,text,,
detail_samples,recorder_names,character varying,,
detail_samples,survey_id,integer,,
detail_samples,survey_title,character varying,,
detail_samples,sample_method_id,integer,,
detail_samples,external_key,character varying,,
detail_surveys,id,integer,,
detail_surveys,title,character varying,,
detail_surveys,owner_id,integer,,
detail_surveys,owner,character varying,,
detail_surveys,description,text,,
detail_surveys,website_id,integer,,
detail_surveys,website,character varying,,
detail_surveys,created_by_id,integer,,
detail_surveys,created_by,character varying,,
detail_surveys,updated_by_id,integer,,
detail_surveys,updated_by,character varying,,
detail_taxa_taxon_designations,id,integer,,
detail_taxa_taxon_designations,title,character varying,,
detail_taxa_taxon_designations,code,character varying,,
detail_taxa_taxon_designations,abbreviation,character varying,,
detail_taxa_taxon_designations,taxon,character varying,,
detail_taxa_taxon_designations,common,character varying,,
detail_taxa_taxon_designations,preferred_name,character varying,,
detail_taxa_taxon_designations,language,character,,
detail_taxa_taxon_designations,taxon_group,character varying,,
detail_taxa_taxon_designations,category,character varying,,
detail_taxa_taxon_designations,created_by_id,integer,,
detail_taxa_taxon_designations,created_by,character varying,,
detail_taxa_taxon_designations,updated_by_id,integer,,
detail_taxa_taxon_designations,updated_by,character varying,,
detail_taxa_taxon_designations,created_on,timestamp without time zone,,
detail_taxa_taxon_designations,updated_on,timestamp without time zone,,
detail_taxa_taxon_lists,id,integer,,
detail_taxa_taxon_lists,taxon_id,integer,,
detail_taxa_taxon_lists,taxon,character varying,,
detail_taxa_taxon_lists,authority,character varying,,
detail_taxa_taxon_lists,language_iso,character,,
detail_taxa_taxon_lists,common,character varying,,
detail_taxa_taxon_lists,taxon_list_id,integer,,
detail_taxa_taxon_lists,taxon_list,character varying,,
detail_taxa_taxon_lists,taxon_meaning_id,integer,,
detail_taxa_taxon_lists,preferred,boolean,,
detail_taxa_taxon_lists,taxonomic_sort_order,bigint,,
detail_taxa_taxon_lists,description_in_list,character varying,,
detail_taxa_taxon_lists,general_description,character varying,,
detail_taxa_taxon_lists,parent_id,integer,,
detail_taxa_taxon_lists,parent,character varying,,
detail_taxa_taxon_lists,image_path,character varying,,
detail_taxa_taxon_lists,image_caption,character varying,,
detail_taxa_taxon_lists,created_by_id,integer,,
detail_taxa_taxon_lists,created_by,character varying,,
detail_taxa_taxon_lists,updated_by_id,integer,,
detail_taxa_taxon_lists,updated_by,character varying,,
detail_taxa_taxon_lists,external_key,character varying,,
detail_taxa_taxon_lists,allow_data_entry,boolean,,
detail_taxon_codes,id,integer,,
detail_taxon_codes,taxon_meaning_id,integer,,
detail_taxon_codes,code,character varying,,
detail_taxon_codes,term,character varying,,
detail_taxon_codes,created_by_id,integer,,
detail_taxon_codes,created_by,character varying,,
detail_taxon_codes,created_on,timestamp without time zone,,
detail_taxon_codes,updated_by_id,integer,,
detail_taxon_codes,updated_by,character varying,,
detail_taxon_codes,updated_on,timestamp without time zone,,
detail_taxon_designations,id,integer,,
detail_taxon_designations,title,character varying,,
detail_taxon_designations,code,character varying,,
detail_taxon_designations,abbreviation,character varying,,
detail_taxon_designations,description,character varying,,
detail_taxon_designations,category,character varying,,
detail_taxon_designations,created_by_id,integer,,
detail_taxon_designations,created_by,character varying,,
detail_taxon_designations,updated_by_id,integer,,
detail_taxon_designations,updated_by,character varying,,
detail_taxon_designations,created_on,timestamp without time zone,,
detail_taxon_designations,updated_on,timestamp without time zone,,
detail_taxon_groups,id,integer,,
detail_taxon_groups,title,character varying,,
detail_taxon_groups,created_by_id,integer,,
detail_taxon_groups,created_by,character varying,,
detail_taxon_groups,updated_by_id,integer,,
detail_taxon_groups,updated_by,character varying,,
detail_taxon_groups,website_id,integer,,
detail_taxon_images,id,integer,,
detail_taxon_images,path,character varying,,
detail_taxon_images,caption,character varying,,
detail_taxon_images,deleted,boolean,,
detail_taxon_images,taxon_meaning_id,integer,,
detail_taxon_images,created_by_id,integer,,
detail_taxon_images,created_by,character varying,,
detail_taxon_images,updated_by_id,integer,,
detail_taxon_images,updated_by,character varying,,
detail_taxon_lists,id,integer,,
detail_taxon_lists,title,character varying,,
detail_taxon_lists,description,text,,
detail_taxon_lists,website_id,integer,,
detail_taxon_lists,website,character varying,,
detail_taxon_lists,parent_id,integer,,
detail_taxon_lists,parent,character varying,,
detail_taxon_lists,created_by_id,integer,,
detail_taxon_lists,created_by,character varying,,
detail_taxon_lists,updated_by_id,integer,,
detail_taxon_lists,updated_by,character varying,,
detail_taxon_relation_types,id,integer,,
detail_taxon_relation_types,caption,character varying,,
detail_taxon_relation_types,forward_term,character varying,,
detail_taxon_relation_types,reverse_term,character varying,,
detail_taxon_relation_types,relation_code,integer,,
detail_taxon_relation_types,special,character,,
detail_taxon_relation_types,created_by_id,integer,,
detail_taxon_relation_types,created_by,character varying,,
detail_taxon_relation_types,updated_by_id,integer,,
detail_taxon_relation_types,updated_by,character varying,,
detail_termlists,id,integer,,
detail_termlists,title,character varying,,
detail_termlists,description,text,,
detail_termlists,website_id,integer,,
detail_termlists,website,character varying,,
detail_termlists,parent_id,integer,,
detail_termlists,parent,character varying,,
detail_termlists,created_by_id,integer,,
detail_termlists,created_by,character varying,,
detail_termlists,updated_by_id,integer,,
detail_termlists,updated_by,character varying,,
detail_termlists,external_key,character varying,,
detail_termlists_terms,id,integer,,
detail_termlists_terms,term_id,integer,,
detail_termlists_terms,term,character varying,,
detail_termlists_terms,termlist_id,integer,,
detail_termlists_terms,termlist,character varying,,
detail_termlists_terms,meaning_id,integer,,
detail_termlists_terms,preferred,boolean,,
detail_termlists_terms,parent_id,integer,,
detail_termlists_terms,parent,character varying,,
detail_termlists_terms,sort_order,integer,,
detail_termlists_terms,website_id,integer,,
detail_termlists_terms,created_by_id,integer,,
detail_termlists_terms,created_by,character varying,,
detail_termlists_terms,updated_by_id,integer,,
detail_termlists_terms,updated_by,character varying,,
detail_termlists_terms,iso,character,,
detail_termlists_terms,termlist_external_key,character varying,,
detail_terms,id,integer,,
detail_terms,term,character varying,,
detail_terms,language_id,integer,,
detail_terms,language,character varying,,
detail_terms,iso,character,,
detail_terms,created_by_id,integer,,
detail_terms,created_by,character varying,,
detail_terms,updated_by_id,integer,,
detail_terms,updated_by,character varying,,
detail_terms,website_id,integer,,
detail_titles,id,integer,,
detail_titles,title,character varying,,
detail_titles,created_by_id,integer,,
detail_titles,created_by,character varying,,
detail_titles,updated_by_id,integer,,
detail_titles,updated_by,character varying,,
detail_users,id,integer,,
detail_users,username,character varying,,
detail_users,website_id,integer,,
detail_users,person_id,integer,,
detail_users,created_by_id,integer,,
detail_users,created_by,character varying,,
detail_users,updated_by_id,integer,,
detail_users,created_on,timestamp without time zone,,
detail_users,updated_on,timestamp without time zone,,
detail_users,updated_by,character varying,,
detail_website_agreements,id,integer,,
detail_website_agreements,title,character varying,,
detail_website_agreements,description,character varying,,
detail_website_agreements,public,boolean,,
detail_website_agreements,provide_for_reporting,character,,
detail_website_agreements,receive_for_reporting,character,,
detail_website_agreements,provide_for_peer_review,character,,
detail_website_agreements,receive_for_peer_review,character,,
detail_website_agreements,provide_for_verification,character,,
detail_website_agreements,receive_for_verification,character,,
detail_website_agreements,provide_for_data_flow,character,,
detail_website_agreements,receive_for_data_flow,character,,
detail_website_agreements,provide_for_moderation,character,,
detail_website_agreements,receive_for_moderation,character,,
detail_website_agreements,created_by_id,integer,,
detail_website_agreements,created_by,character varying,,
detail_website_agreements,updated_by_id,integer,,
detail_website_agreements,updated_by,character varying,,
detail_websites,id,integer,,
detail_websites,title,character varying,,
detail_websites,url,character varying,,
detail_websites,description,text,,
detail_websites,created_by_id,integer,,
detail_websites,created_by,character varying,,
detail_websites,updated_by_id,integer,,
detail_websites,updated_by,character varying,,
detail_websites,website_id,integer,,
detail_websites_website_agreements,id,integer,,
detail_websites_website_agreements,website,character varying,,
detail_websites_website_agreements,agreement,character varying,,
detail_websites_website_agreements,created_by_id,integer,,
detail_websites_website_agreements,created_by,character varying,,
detail_websites_website_agreements,updated_by_id,integer,,
detail_websites_website_agreements,updated_by,character varying,,
gv_languages,id,integer,,
gv_languages,language,character varying,,
gv_languages,iso,character,,
gv_languages,website_id,integer,,
gv_location_attributes,id,integer,,
gv_location_attributes,website_id,integer,,
gv_location_attributes,survey_id,integer,,
gv_location_attributes,website,character varying,,
gv_location_attributes,survey,character varying,,
gv_location_attributes,caption,character varying,,
gv_location_attributes,data_type,character,,
gv_location_attributes,public,boolean,,
gv_location_attributes,created_by_id,integer,,
gv_location_attributes,deleted,boolean,,
gv_location_images,id,integer,,
gv_location_images,path,character varying,,
gv_location_images,caption,character varying,,
gv_location_images,deleted,boolean,,
gv_location_images,location_id,integer,,
gv_locations,id,integer,,
gv_locations,name,character varying,,
gv_locations,code,character varying,,
gv_locations,centroid_sref,character varying,,
gv_locations,website_id,integer,,
gv_locations,type,character varying,,
gv_locations,website,character varying,,
gv_occurrence_attributes,id,integer,,
gv_occurrence_attributes,website_id,integer,,
gv_occurrence_attributes,survey_id,integer,,
gv_occurrence_attributes,website,character varying,,
gv_occurrence_attributes,survey,character varying,,
gv_occurrence_attributes,caption,character varying,,
gv_occurrence_attributes,data_type,character,,
gv_occurrence_attributes,public,boolean,,
gv_occurrence_attributes,created_by_id,integer,,
gv_occurrence_attributes,deleted,boolean,,
gv_occurrence_comments,id,integer,,
gv_occurrence_comments,comment,text,,
gv_occurrence_comments,occurrence_id,integer,,
gv_occurrence_comments,email_address,character varying,,
gv_occurrence_comments,updated_on,timestamp without time zone,,
gv_occurrence_comments,person_name,character varying,,
gv_occurrence_comments,username,character varying,,
gv_occurrence_comments,website_id,integer,,
gv_occurrence_images,id,integer,,
gv_occurrence_images,path,character varying,,
gv_occurrence_images,caption,character varying,,
gv_occurrence_images,deleted,boolean,,
gv_occurrence_images,occurrence_id,integer,,
gv_occurrences,id,integer,,
gv_occurrences,website,character varying,,
gv_occurrences,survey,character varying,,
gv_occurrences,sample_id,integer,,
gv_occurrences,taxon,character varying,,
gv_occurrences,date_start,date,,
gv_occurrences,date_end,date,,
gv_occurrences,date_type,character varying,,
gv_occurrences,entered_sref,character varying,,
gv_occurrences,entered_sref_system,character varying,,
gv_occurrences,location_name,character varying,,
gv_occurrences,name,character varying,,
gv_occurrences,deleted,boolean,,
gv_occurrences,website_id,integer,,
gv_people,id,integer,,
gv_people,first_name,character varying,,
gv_people,surname,character varying,,
gv_people,initials,character varying,,
gv_people,caption,text,,
gv_people,email_address,character varying,,
gv_people,website_id,integer,,
gv_person_attributes,id,integer,,
gv_person_attributes,website_id,integer,,
gv_person_attributes,website,character varying,,
gv_person_attributes,caption,character varying,,
gv_person_attributes,data_type,character,,
gv_person_attributes,public,boolean,,
gv_person_attributes,created_by_id,integer,,
gv_person_attributes,deleted,boolean,,
gv_sample_attribute_by_surveys,weight1,integer,,
gv_sample_attribute_by_surveys,weight2,integer,,
gv_sample_attribute_by_surveys,weight3,integer,,
gv_sample_attribute_by_surveys,id,integer,,
gv_sample_attribute_by_surveys,outer_structure_block,character varying,,
gv_sample_attribute_by_surveys,inner_structure_block,character varying,,
gv_sample_attribute_by_surveys,website_id,integer,,
gv_sample_attribute_by_surveys,survey_id,integer,,
gv_sample_attribute_by_surveys,website,character varying,,
gv_sample_attribute_by_surveys,survey,character varying,,
gv_sample_attribute_by_surveys,caption,character varying,,
gv_sample_attribute_by_surveys,data_type,character,,
gv_sample_attribute_by_surveys,control,character varying,,
gv_sample_attribute_by_surveys,public,boolean,,
gv_sample_attribute_by_surveys,created_by_id,integer,,
gv_sample_attribute_by_surveys,deleted,boolean,,
gv_sample_attributes,id,integer,,
gv_sample_attributes,website_id,integer,,
gv_sample_attributes,survey_id,integer,,
gv_sample_attributes,website,character varying,,
gv_sample_attributes,survey,character varying,,
gv_sample_attributes,caption,character varying,,
gv_sample_attributes,data_type,character,,
gv_sample_attributes,public,boolean,,
gv_sample_attributes,created_by_id,integer,,
gv_sample_attributes,deleted,boolean,,
gv_sample_images,id,integer,,
gv_sample_images,path,character varying,,
gv_sample_images,caption,character varying,,
gv_sample_images,deleted,boolean,,
gv_sample_images,sample_id,integer,,
gv_samples,id,integer,,
gv_samples,date_start,date,,
gv_samples,date_end,date,,
gv_samples,date_type,character varying,,
gv_samples,entered_sref,character varying,,
gv_samples,entered_sref_system,character varying,,
gv_samples,location_name,character varying,,
gv_samples,deleted,boolean,,
gv_samples,survey,character varying,,
gv_samples,website,character varying,,
gv_samples,location,character varying,,
gv_samples,website_id,integer,,
gv_surveys,id,integer,,
gv_surveys,title,character varying,,
gv_surveys,description,text,,
gv_surveys,website,character varying,,
gv_surveys,deleted,boolean,,
gv_surveys,website_id,integer,,
gv_taxa_taxon_designations,id,integer,,
gv_taxa_taxon_designations,taxon_designation_id,integer,,
gv_taxa_taxon_designations,taxa_taxon_list_id,integer,,
gv_taxa_taxon_designations,taxon_id,integer,,
gv_taxa_taxon_designations,taxon,character varying,,
gv_taxa_taxon_designations,title,character varying,,
gv_taxa_taxon_designations,category,character varying,,
gv_taxa_taxon_designations,deleted,boolean,,
gv_taxa_taxon_list_attributes,id,integer,,
gv_taxa_taxon_list_attributes,taxon_list_id,integer,,
gv_taxa_taxon_list_attributes,taxon_list,character varying,,
gv_taxa_taxon_list_attributes,caption,character varying,,
gv_taxa_taxon_list_attributes,data_type,character,,
gv_taxa_taxon_list_attributes,public,boolean,,
gv_taxa_taxon_list_attributes,created_by_id,integer,,
gv_taxa_taxon_list_attributes,deleted,boolean,,
gv_taxa_taxon_list_attributes,website_id,integer,,
gv_taxa_taxon_lists,id,integer,,
gv_taxa_taxon_lists,taxon_list_id,integer,,
gv_taxa_taxon_lists,taxon_id,integer,,
gv_taxa_taxon_lists,created_on,timestamp without time zone,,
gv_taxa_taxon_lists,created_by_id,integer,,
gv_taxa_taxon_lists,parent_id,integer,,
gv_taxa_taxon_lists,taxon_meaning_id,integer,,
gv_taxa_taxon_lists,taxonomic_sort_order,bigint,,
gv_taxa_taxon_lists,preferred,boolean,,
gv_taxa_taxon_lists,deleted,boolean,,
gv_taxa_taxon_lists,taxon,character varying,,
gv_taxa_taxon_lists,taxon_group_id,integer,,
gv_taxa_taxon_lists,language_id,integer,,
gv_taxa_taxon_lists,authority,character varying,,
gv_taxa_taxon_lists,search_code,character varying,,
gv_taxa_taxon_lists,scientific,boolean,,
gv_taxa_taxon_lists,language,character varying,,
gv_taxa_taxon_lists,taxon_group,character varying,,
